Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,Notes from original source,License URL
SH.XPD.EHEX.CH.ZS,CC BY-4.0,External health expenditure (% of current health expenditure),,Share of current health expenditures funded from external sources. External sources compose of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country. External sources either flow through the government scheme or are channeled through non-governmental organizations or other schemes.,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on January 30, 2022.",Health: Health systems,Annual,Weighted Average,"The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.","Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.XPD.EHEX.PC.CD,CC BY-4.0,External health expenditure per capita (current US$),,Current external expenditures on health per capita expressed in current US dollars. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country.,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on January 30, 2022.",Health: Health systems,Annual,Weighted Average,"The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.","Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.XPD.EHEX.PP.CD,CC BY-4.0,"External health expenditure per capita, PPP (current international $)",,Current external expenditures on health per capita expressed in international dollars at purchasing power parity. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country.,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on January 30, 2022.",Health: Health systems,Annual,Weighted Average,"The health expenditure estimates have been prepared by the World Health Organization (WHO) under the framework of the System of Health Accounts 2011 (SHA 2011). The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making. WHO converted the expenditure data using PPP time series extracted from WDI (based on ICP 2017) and OECD data. Where WDI/OECD data were not available, IMF or WHO estimates were utilized. Detailed metadata are available at <https://apps.who.int/nha/database/Select/Indicators/en>.","Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.FGMS.ZS,CC BY-4.0,Female genital mutilation prevalence (%),,Percentage of women aged 15–49 who have gone through partial or total removal of the female external genitalia or other injury to the female genital organs for cultural or other non-therapeutic reasons.,"UNICEF DATA (http://www.data.unicef.org/);  Demographic and Health Surveys (DHS); Multiple Indicator Cluster Surveys (MICS), and other surveys.",Health: Risk factors,Annual,,,,,This is the Sustainable Development Goal indicator 5.3.2[https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.HOU.FEMA.ZS,CC BY-4.0,Female headed households (% of households with a female head),,Female headed households shows the percentage of households with a female head.,Demographic and Health Surveys.,Health: Population: Dynamics,Annual,,,"The household is regarded as the fundamental social and economic unit of society. Transformation at the household form, therefore, has impact at the aggregate level of a country. An increasing number of female-headed households (FHHs) in developing countries are emerging as a result of economic changes, economic downturns and social pressures, rather than as a product of cultural patterns. In many developing countries of Asia and Latin American, there has been a significant increase in the percentage of FHHs. The majority of women in FHHs in developing countries are widowed, and to a lesser extent divorced or separated. In the developed countries most female-headed households consist of women who are never married or who are divorced. The feminization of poverty - the process whereby poverty becomes more concentrated among Individuals living in female-headed households - is a key concept for describing FHH social and economic levels.","The definition of female-headed household differs greatly across countries, making cross-country comparison difficult. In some cases it is assumed that a woman cannot be the head of any household with an adult male, because of sex-biased stereotype. Caution should be used in interpreting the data.","The composition of a household plays a role in the determining other characteristics of a household, such as how many children are sent to school and the distribution of family income.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.TFRT.IN,CC BY-4.0,"Fertility rate, total (births per woman)",,Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.,"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Reproductive health,Annual,Weighted average,"Total fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.",Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.,Relevance to gender indicator: it can indicate the status of women within households and a woman’s decision about the number and spacing of children.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.IMM.IDPT,CC BY-4.0,"Immunization, DPT (% of children ages 12-23 months)",,"Child immunization, DPT, measures the percentage of children ages 12-23 months who received DPT vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against diphtheria, pertussis (or whooping cough), and tetanus (DPT) after receiving three doses of vaccine.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,Health: Disease prevention,Annual,Weighted average,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.","Immunization is one of the most cost-effective public health interventions, and is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,This is the Sustainable Development Goal indicator 3.b.1 [https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.IMM.HEPB,CC BY-4.0,"Immunization, HepB3 (% of one-year-old children)",,"Child immunization rate, hepatitis B is the percentage of children ages 12-23 months who received hepatitis B vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized after three doses.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,Health: Disease prevention,Annual,Weighted average,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.","Immunization is one of the most cost-effective public health interventions, and is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.IMM.MEAS,CC BY-4.0,"Immunization, measles (% of children ages 12-23 months)",,"Child immunization, measles, measures the percentage of children ages 12-23 months who received the measles vaccination before 12 months or at any time before the survey. A child is considered adequately immunized against measles after receiving one dose of vaccine.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,Health: Disease prevention,Annual,Weighted average,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.","Immunization is one of the most cost-effective public health interventions, and is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.INCD.YG.P3,CC BY-4.0,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",,"Number of new HIV infections among uninfected populations ages 15-24 expressed per 1,000 uninfected population ages 15-24 in the year before the period.",UNAIDS estimates.,Health: Risk factors,Annual,Weighted Average,"Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",,This is an age-disaggregated indicator for Sustainable Development Goal 3.3.1 [https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.INCD.ZS,CC BY-4.0,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,"Number of new HIV infections among uninfected populations ages 15-49 expressed per 1,000 uninfected population in the year before the period.",UNAIDS estimates.,Health: Risk factors,Annual,Weighted Average,"Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",,This is the Sustainable Development Goal indicator 3.3.1 [https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.INCD.TL.P3,CC BY-4.0,"Incidence of HIV, all (per 1,000 uninfected population)",,"Number of new HIV infections among uninfected populations expressed per 1,000 uninfected population in the year before the period.",UNAIDS estimates.,Health: Risk factors,Annual,Weighted Average,"Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",,This is the Sustainable Development Goal indicator 3.3.1 [https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.MLR.INCD.P3,CC BY-4.0,"Incidence of malaria (per 1,000 population at risk)",,"Incidence of malaria is the number of new cases of malaria in a year per 1,000 population at risk.","World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/ghodata/).",Health: Risk factors,Annual,Weighted Average,,,,This is the Sustainable Development Goal indicator 3.3.3[https://unstats.un.org/sdgs/metadata/].,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.TBS.INCD,CC BY-4.0,"Incidence of tuberculosis (per 100,000 people)",,"Incidence of tuberculosis is the estimated number of new and relapse tuberculosis cases arising in a given year, expressed as the rate per 100,000 population. All forms of TB are included, including cases in people living with HIV. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously.","World Health Organization, Global Tuberculosis Report.",Health: Risk factors,Annual,Weighted average,"Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. In developed countries tuberculosis has reemerged largely as a result of cases among immigrants. Since tuberculosis incidence cannot be directly measured, estimates are obtained by eliciting expert opinion or are derived from measurements of prevalence or mortality.",,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Uncertainty bounds for the incidence are available at http://data.worldbank.org",Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization.

This is the Sustainable Development Goal indicator 3.3.2[https://unstats.un.org/sdgs/metadata/].,,"Estimates are presented with uncertainty intervals (see footnote). When ranges are presented, the lower and higher numbers correspond to the 2.5th and 97.5th centiles of the outcome distributions (generally produced by simulations). For more detailed information, see the original source.",https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.LE00.IN,CC BY-4.0,"Life expectancy at birth, total (years)",,Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"(1) United Nations Population Division. World Population Prospects: 2019 Revision, or derived from male and female life expectancy at birth from sources such as: (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Mortality,Annual,Weighted average,"Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.",Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.MMR.RISK.ZS,CC BY-4.0,Lifetime risk of maternal death (%),,"Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 2000 to 2017. Geneva, World Health Organization, 2019",Health: Reproductive health,Annual,Weighted average,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.

In countries with a high risk of maternal death, many girls die before reaching reproductive age. Lifetime risk of maternal mortality refers to the probability that a 15-year-old girl will eventually die due to a maternal cause.",,"The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The probability cannot be assumed to provide an exact estimate of risk of maternal death.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.MMR.RISK,CC BY-4.0,Lifetime risk of maternal death (1 in: rate varies by country),,"Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 2000 to 2017. Geneva, World Health Organization, 2019",Health: Reproductive health,Annual,Weighted average,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.

In countries with a high risk of maternal death, many girls die before reaching reproductive age. Lifetime risk of maternal mortality refers to the probability that a 15-year-old girl will eventually die due to a maternal cause.",,"The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The probability cannot be assumed to provide an exact estimate of risk of maternal death.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.BRTW.ZS,CC BY-4.0,Low-birthweight babies (% of births),,"Low-birthweight babies are newborns weighing less than 2,500 grams, with the measurement taken within the first hour of life, before significant postnatal weight loss has occurred.",UNICEF-WHO Low birthweight estimates [data.unicef.org],Health: Nutrition,Annual,Weighted average,"Model methods are used based on availability of country input data. Country input data included:  (i) estimates from administrative sources representing =90 per cent of live births labelled as high coverage; (ii) estimates from administrative sources representing 80 to <90 per cent of live births labelled as medium coverage; and (iii) estimates from household surveys adjusted for missing birthweights and heaping. The model methods applied were: b-spline: data for countries with =8 data points from high coverage administrative sources with =1 prior to 2005 and =1 more recent than 2010, were smoothed with b-spline regression to generate annual LBW prevalence estimates that followed country-reported estimates very closely. Hierarchical regression: data for countries not meeting requirements for b-spline but with =1 LBW country input data point were fitted into a model using a set of covariates to generate annual LBW prevalence estimates. The covariates included the natural log of neonatal mortality rate; the proportion of children underweight (weight for-age z score below minus two standard deviations from median weight for age of reference population); data type (high coverage administrative, low coverage administrative, household survey); UN region (e.g., Southern Asia, Caribbean); and a country-specific random effect.).  These estimates may vary substantially from those reported by countries. Partial data: the estimate is based on only partial data for the most recent survey, therefore modelled estimates not shown for the individual country.","Low birth-weight, which is associated with maternal malnutrition, raises the risk of infant mortality and stunts growth in infancy and childhood. There is also emerging evidence that low-birth-weight babies are more prone to non-communicable diseases such as diabetes and cardiovascular diseases. Low birth-weight can arise as a result of a baby being born too soon or too small for gestational age. Babies born prematurely, who are also small for their gestational age, have the worst prognosis.

In low- and middle-income countries low birth-weight stems primarily from poor maternal health and nutrition. Three factors have the most impact: poor maternal nutritional status before conception, mother's short stature (due mostly to under-nutrition and infections during childhood), and poor nutrition during pregnancy (UNICEF Data, https://data.unicef.org/).",,,,"For further details on methods, please refer to the following: Blencowe H, Krasevec J, de Onis M, Black R E, An X, Stevens G A, Borghi E, Hayashi C, Estevez D, Cegolon L, Shiekh S, Hardy V P, Lawn J E, Cousens S. National, regional, and worldwide estimates of low birthweight in 2015, with trends from 2000: a systematic analysis.",https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.MMRT,CC BY-4.0,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,"Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births. The data are estimated with a regression model using information on the proportion of maternal deaths among non-AIDS deaths in women ages 15-49, fertility, birth attendants, and GDP measured using purchasing power parities (PPPs).","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 2000 to 2017. Geneva, World Health Organization, 2019",Health: Reproductive health,Annual,Weighted average,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.",,"The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The ratios cannot be assumed to provide an exact estimate of maternal mortality.",This indicator represents the risk associated with each pregnancy and is also a Sustainable Development Goal Indicator (3.1.1) for monitoring maternal health.,,"Estimates of maternal mortality are presented along with upper and lower  limits of intervals (see footnote) designed to depict the uncertainty of estimates. The intervals are the product of a detailed probabilistic evaluation of the uncertainty attributable to the various components of the estimation process. For estimates derived from the multilevel regression model, the components of uncertainty were divided into two groups: those reflected within the regression model (internal sources), and those due to assumptions or calculations that occur outside the model (external sources). Estimates of the total uncertainty reflect a combination of these various sources.",https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.MMRT.NE,CC BY-4.0,"Maternal mortality ratio (national estimate, per 100,000 live births)",,"Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births.","The country data compiled, adjusted and used in the estimation model by the Maternal Mortality Estimation Inter-Agency Group (MMEIG). The country data were compiled from the following sources:  civil registration and vital statistics; specialized studies on maternal mortality; population based surveys and censuses; other available data sources including data from surveillance sites.",Health: Reproductive health,Annual,,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The national estimates of maternal mortality ratios are based on national surveys, vital registration records, and surveillance data or are derived from community and hospital records.",,"Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The ratios cannot be assumed to provide an exact estimate of maternal mortality. Some of the figures shown were adjusted by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) to enhance reliability, so that they may differ from the published figures from sources such as household surveys.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
